"Country,Other",Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",WHO Region
Guyana,South America,794045,74137,,1300,,72013,,824,,93366,1637,733218,923396,Americas
Belize,North America,412190,71378,,688,,,,,,173168,1669,576016,1397453,Americas
Fiji,Australia/Oceania,909466,69117,,885,,67226,,1006,,75997,973,672883,739866,WesternPacific
Madagascar,Africa,29178077,68486,,1426,,66862,,198,,2347,49,531329,18210,Africa
Cabo Verde,Africa,567678,64477,,417,,63755,,305,23,113580,735,401622,707482,Africa
Sudan,Africa,45992020,63993,,5046,,58947,,0,,1391,110,562941,12240,EasternMediterranean
Mauritania,Africa,4901981,63819,,997,,62471,,351,,13019,203,1009957,206030,Africa
Bhutan,Asia,787941,62697,,21,,61564,,1112,,79571,27,2303734,2923739,South-EastAsia
Syria,Asia,19364809,57743,,3165,,54578,,0,,2982,163,146269,7553,EasternMediterranean
Burundi,Africa,12624840,54721,,38,,53569,,1114,,4334,3,345742,27386,Africa
Seychelles,Africa,99426,51220,,172,,51048,,0,,515157,1730,,,Africa
Gabon,Africa,2331533,49051,,307,,48674,,70,,21038,132,1621909,695641,Africa
Andorra,Europe,77463,48015,,165,,,,,,619844,2130,249838,3225256,Europe
Papua New Guinea,Australia/Oceania,9292169,46864,,670,,46168,,26,,5043,72,249149,26813,WesternPacific
Curaçao,North America,165529,45986,,295,,44720,,971,3,277812,1782,496693,3000640,
Aruba,North America,107609,44224,,292,,42438,,1494,2,410969,2714,177885,1653068,
Tanzania,Africa,63298550,43223,,846,,,,,,683,13,,,Africa
Mauritius,Africa,1274727,43025,,1051,,41278,,696,,33752,824,358675,281374,Africa
Mayotte,Africa,286259,42027,,188,,,,,,146815,657,176919,618038,
Togo,Africa,8680837,39553,,290,,39263,,0,,4556,33,812881,93641,Africa
Guinea,Africa,13865691,38572,,468,,37757,,347,,2782,34,660107,47607,Africa
Bahamas,North America,400516,38084,,844,,36366,,874,1,95087,2107,257839,643767,Americas
Isle of Man,Europe,85732,38008,,116,,,,,,443335,1353,150753,1758422,
Lesotho,Africa,2175699,36135,,723,,25980,,9432,,16608,332,431221,198199,Africa
Faeroe Islands,Europe,49233,34658,,28,,,,,,703959,569,778000,15802409,
Haiti,North America,11680283,34542,,860,,33576,,106,,2957,74,132422,11337,Americas
Mali,Africa,21473764,33164,,743,,32332,,89,,1544,35,804909,37483,Africa
Cayman Islands,North America,67277,31472,,37,,8553,,22882,1,467797,550,222773,3311280,
Saint Lucia,North America,185113,30211,,410,,29799,,2,,163203,2215,210983,1139752,Americas
Benin,Africa,12784726,28036,,163,,27847,,26,,2193,13,604310,47268,Africa
Somalia,Africa,16841795,27334,,1361,,13182,,12791,,1623,81,400466,23778,EasternMediterranean
Micronesia,Australia/Oceania,117489,26547,,65,,,,,,225953,553,82430,701598,WesternPacific
San Marino,Europe,34085,26185,,128,,26011,,46,,768226,3755,196855,5775414,Europe
Solomon Islands,Australia/Oceania,721159,25954,,199,,,,,,35989,276,,,WesternPacific
Congo,Africa,5797805,25375,,386,,24006,,983,,4377,67,347815,59991,Africa
Timor-Leste,Asia,1369429,23460,,138,,23102,,220,,17131,101,278529,203391,South-EastAsia
Burkina Faso,Africa,22102838,22109,,400,,21596,,113,,1000,18,248995,11265,Africa
Macao,Asia,667490,21832,,123,,3487,,18222,,32708,184,7850,11760,
Liechtenstein,Europe,38387,21571,,94,,,,,,561935,2449,112457,2929559,Europe
Gibraltar,Europe,33704,20550,,113,,,,,,609720,3353,534283,15852213,
Grenada,North America,113475,19693,,238,,19358,,97,4,173545,2097,182981,1612523,Americas
Bermuda,North America,61939,18860,,165,,18685,,10,,304493,2664,1029558,16622128,Americas
South Sudan,Africa,11618511,18819,,147,,18115,,557,1,1620,13,410280,35313,Africa
Nicaragua,North America,6779100,18491,,225,,4225,,14041,,2728,33,,,Americas
Tajikistan,Asia,9957464,17786,,125,,17264,,397,,1786,13,,,Europe
Equatorial Guinea,Africa,1496662,17229,,183,,16907,,139,5,11512,122,365697,244342,Africa
Monaco,Europe,39783,17181,,67,,,,,,431868,1684,78646,1976875,Europe
Samoa,Australia/Oceania,202239,17006,,31,,1605,,15370,,84089,153,187397,926612,WesternPacific
Tonga,Australia/Oceania,107749,16950,,13,,15638,,1299,,157310,121,535009,4965327,WesternPacific
Marshall Islands,Australia/Oceania,60057,16138,,17,,16121,,0,,268711,283,,,WesternPacific
Dominica,North America,72344,16038,,74,,15964,,0,,221691,1023,229344,3170187,Americas
Djibouti,Africa,1016097,15690,,189,,15427,,74,,15441,186,305941,301094,EasternMediterranean
CAR,Africa,5016678,15440,,113,,15200,,127,2,3078,23,81294,16205,
Gambia,Africa,2558482,12626,,372,,12189,,65,,4935,145,155686,60851,Africa
Saint Martin,North America,39730,12324,,63,,,,,,310194,1586,112382,2828643,
Vanuatu,Australia/Oceania,321832,12019,,14,,11976,,29,,37346,44,24976,77606,WesternPacific
Greenland,North America,56973,11971,,21,,2761,,9189,4,210117,369,164926,2894810,Europe
Yemen,Asia,31154867,11945,,2159,,9124,,662,,383,69,329592,10579,EasternMediterranean
Caribbean Netherlands,North America,26647,11682,,38,,10476,,1168,,438398,1426,30126,1130559,
Sint Maarten,North America,43966,11051,,92,,10905,,54,,251353,2093,62056,1411454,
Eritrea,Africa,3662244,10189,,103,,10086,,0,,2782,28,23693,6470,Africa
Niger,Africa,26083660,9931,,312,,8890,,729,1,381,12,254538,9759,Africa
St. Vincent Grenadines,North America,111551,9674,,124,,9493,,57,,86723,1112,114197,1023720,
Guinea-Bissau,Africa,2063367,9614,,177,,8929,,508,6,4659,86,145231,70385,Africa
Comoros,Africa,907419,9109,,161,,8939,,9,,10038,177,,,Africa
Antigua and Barbuda,North America,99509,9106,,146,,8954,,6,,91509,1467,18901,189943,Americas
Liberia,Africa,5305117,8090,,295,,7783,,12,2,1525,56,139824,26356,Africa
Sierra Leone,Africa,8306436,7779,,126,,,,,,937,15,259958,31296,Africa
Chad,Africa,17413580,7701,,194,,4874,,2633,,442,11,191341,10988,Africa
British Virgin Islands,North America,30596,7392,,64,,,,,,241600,2092,107339,3508269,
Cook Islands,Australia/Oceania,17571,7203,,2,,7150,,51,,409937,114,19690,1120596,WesternPacific
Sao Tome and Principe,Africa,227679,6751,,80,,6670,,1,,29651,351,29600,130008,Africa
Turks and Caicos,North America,39741,6733,,40,,6673,,20,4,169422,1007,616400,15510430,
Saint Kitts and Nevis,North America,53871,6607,,48,,6559,,0,,122645,891,126958,2356704,Americas
Palau,Australia/Oceania,18233,6270,,10,,6258,,2,,343882,548,71181,3903965,WesternPacific
St. Barth,North America,9945,5507,,6,,,,,,553746,603,78646,7908095,
Nauru,Australia/Oceania,10903,5393,,1,,5347,,45,,494635,92,20509,1881042,WesternPacific
Kiribati,Australia/Oceania,123419,5085,,24,,2703,,2358,3,41201,194,,,WesternPacific
Anguilla,North America,15230,3904,,12,,,,,,256336,788,51382,3373736,
Wallis and Futuna,Australia/Oceania,10982,3550,,8,,438,,3104,,323256,728,20508,1867419,
Saint Pierre Miquelon,North America,5759,3452,,2,,2449,,1001,,599410,347,25400,4410488,
Tuvalu,Australia/Oceania,12066,2943,,1,,,,,,243909,83,,,WesternPacific
Saint Helena,Africa,6115,2166,,,,2,,2164,,354211,,,,
Falkland Islands,South America,3539,1930,,,,1930,,0,,545352,,8632,2439107,
Montserrat,North America,4965,1403,,8,,1376,,19,,282578,1611,17762,3577442,
Niue,Australia/Oceania,1622,1053,,,,1052,,1,,649199,,,,WesternPacific
